"Имя","Категории","Описание","Краткое описание","Цена","Изображения","Артикул","video_youtube","pdf_instruction","tovar_articul_product","Название атрибута 1","Значения атрибутов 1","Название атрибута 2","Значения атрибутов 2","Название атрибута 3","Значения атрибутов 3","Название атрибута 4","Значения атрибутов 4","Название атрибута 5","Значения атрибутов 5","Название атрибута 6","Значения атрибутов 6","Название атрибута 7","Значения атрибутов 7","Название атрибута 8","Значения атрибутов 8","Название атрибута 9","Значения атрибутов 9","Название атрибута 10","Значения атрибутов 10","Название атрибута 11","Значения атрибутов 11","Название атрибута 12","Значения атрибутов 12","Название атрибута 13","Значения атрибутов 13","Название атрибута 14","Значения атрибутов 14","Название атрибута 15","Значения атрибутов 15","Название атрибута 16","Значения атрибутов 16","Название атрибута 17","Значения атрибутов 17","Название атрибута 18","Значения атрибутов 18","Название атрибута 19","Значения атрибутов 19","Название атрибута 20","Значения атрибутов 20","Название атрибута 21","Значения атрибутов 21","Название атрибута 22","Значения атрибутов 22"
"Вставка нейлоновая KraftWell  арт. QWJ205D1038","Запасные части > Запчасти KRAFTWELL > Подъемники",,"KRW5EA",190,"https://www.mkslift.ru/images/products/s_1200/17896_VwfKhnTqtu.jpg","QWJ205D1038",,,"KRW5EA","Бренд","KraftWell (КНР)","Гарантия","12 мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Рука монтажная гильза Sicam  арт. 1695301945","Запасные части > SICAM",,"TCS52ANW",128279,"https://www.mkslift.ru/images/products/s_1200/17897_vR8ux74GvT.jpg",1695301945,,,,"Бренд","Sicam (Италия)","Гарантия","24 мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Прибор контроля и регулировки света фар TopAuto  арт. HBA40Touch/L2","Проверка света фар","
			Каждый из нас когда-либо сталкивался с ситуацией, когда в темное время суток, двигаясь по дороге, встречный автомобиль слепит фарами. Это возможно по двум причинам – неправильно отрегулированы фары или вообще не отрегулированы, или установлены лампы, несоответствующие рекомендованным. Такая ситуация может спровоцировать ДТП. Чтобы избежать этого, необходимо своевременно проводить проверку и регулировку фар. С этой задачей легко справляются приборы для проверки и регулировки света фар от известного итальянского производителя – компании TOP-AUTO.
Внесен в  ФЕДЕРАЛЬНЫЙ ИНФОРМАЦИОННЫЙ ФОНД ПО ОБЕСПЕЧЕНИЮ ЕДИНСТВА ИЗМЕРЕНИЙ ""АРШИН"" (https://fgis.gost.ru/fundmetrology/registry/4/items/1408564), а значит подходят для проверки и регулировки фар в соответствии с Техническим регламентом РФ №720 от 30.09.2009г., а также ГОСТ Р 51709-2001 как в автосервисах, так и на пунктах технического осмотра автотранспортных средств. 
Сочетает надежную и эргономичную конструкцию из стали с передовой технологией. Подходит для проверки всех видов транспорта. Практичный цветной экран делает все действия более четкими и удобными

    Измерений углов наклона светотеневой границы пучка ближнего света к плоскости рабочей площадки, на которой устанавливается автомобиль (в соответствии с требованиями ГОСТ Р 51709-2001);
    Измерений углового отклонения от нулевого положения в горизонтальном направ­лении точки пересечения левого горизонтального и правого наклонного участков светотеневой границы светового пучка фар ближнего света (в соответствии с требованиями ГОСТ Р 51709 -2001);
    Измерений силы света и проверки технического состояния фар автотранспортных средств, соответствующих требованиями: ГОСТ Р 41.1-99, ГОСТР 41.5-99, ГОСТ Р 41.8-99, ГОСТ Р 41.20-99, ГОСТР 41.31-99.
    Оптический элемент - износоустойчивая стеклянная линза Френеля с гладкой внешней поверхностью
    В прибор интегрирован неподвижный экран с разметкой для контроля светотеневой границы
    Прибор оснащён: лазерным визиром и лазерным указателем, для более точного позиционирования прибора по отношению к автомобилю
    Регулировка наклона оптического блока при помощи встроенного пузырькового уровня
    Результаты измерения силы света воспроизводятся на встроенном TFT-дисплее
    Устанавливается на вертикальную мобильную стойку с тремя прорезиненными колесами; переднее колесо оснащено эксцентриком для регулировки положения прибора по отношению к горизонту
    Вертикальная вращающаяся стойка со скользящими нейлоновыми колодками оснащена износоустойчивой метрической шкалой
    Встроенный механический тормоз

Техническое :

    Встроенный USB - разъем для соединения с компьютером или принтером
    TFT Touch Screen дисплей lbfjufkm. 4,3""
    Встроенный аккумулятор 12В
    Электронный поиск правильное проекции всех типов фар (дальний/ближний свет, противотуманные) с помощью фотосенсора
    Регистрация даты и времени измерения
    Выбор звука
    Указатель зарядки аккумулятора
    Указатель состояния лазера
    Русский язык
    Расчет разницы силы света между двумя фарами
    Возможность регистрации данных клиента","Прибор проверки и регулировки света фар оптико-электронный, TFT-дисплей TouchScreen, связь с персональным компьютером через порт USB, лазерный визир, лазерная система центровки фары, основание на колесиках, вращающаяся стойка со скользящими нейлоновыми колодками. Поставляется с ПО, минимальное необходимое программное обеспечение WindowsXP Professional или Windows2000 Professional.",260000,"https://www.mkslift.ru/images/products/s_1200/17899_VXpkBnmqc5.jpg, https://www.mkslift.ru/images/products/s_1200/17899_uHes9mtb32.jpg, https://www.mkslift.ru/images/products/s_1200/17899_Fp9yRtaUrG.jpg, https://www.mkslift.ru/images/products/s_1200/17899_rwpvQWMYEK.jpg, https://www.mkslift.ru/images/products/s_1200/17899_ZehTDRbQuS.jpg, https://www.mkslift.ru/images/products/s_1200/17899_EuUuhwmUcS.jpg, https://www.mkslift.ru/images/products/s_1200/17899_yGqAEnDuGp.jpg, https://www.mkslift.ru/images/products/s_1200/17899_eMqG6YeUTt.jpg, https://www.mkslift.ru/images/products/s_1200/17899_Eqn84m5g5Y.jpg","HBA40Touch/L2",," https://www.mkslift.ru/UserFiles/files/Certificates/TopAuto/EAC_HBA.pdf, https://www.mkslift.ru/UserFiles/files/Manuals/TOP/Comp_HBA!.pdf","Cover, HB0104, 25010135, HB0240, HB0101, HB0120","Бренд","TopAuto (Италия)","Гарантия","12 мес.","Тип","электронный","Подходит для","галоген. ксенон. и LED","Визир","лазерный","Центровка","лазерная","Жесткая упак.","да","Упак. размеры","1700/600/330 Д/Ш/В, мм","Вес брутто","40 кг.","Кол-во мест","1 шт.","Вес","39 кг.","Цвет","синий","Высота до центра фары","230-1460 мм.","Темп. диапазон","-15 - +45 С",,,,,,,,,,,,,,,,
"Манометр KraftWell  арт. KRW300-SPr","Запасные части > Запчасти KRAFTWELL > Станки специальные",,"KRW300",3559,"https://www.mkslift.ru/images/products/s_1200/17906_ctqv5kZ3D4.jpg","KRW300-SPr",,,"KRW300S, KRW300","Бренд","KraftWell (КНР)","Гарантия","12 мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Сверлильный станок 13 мм, 375 Вт KraftWell  арт. KRW-DP13A","Станки специальные > Сверлильные","
			Профессиональный сверлильный станок KRW-DP13A предназаначен для использования в автосервисах, мастерских, а также на промышленных предприятиях.

    Станок позволяет использовать сверла с диаметром хвостовика до 13 мм
    Аварийный выключатель на передней панели
    Защитный кожух патрона
    Регулировка натяжения приводного ремня рукояткой на корпусе
    Микропереключатель для соответствия нормам безопасности CE
    Лазерный указатель места сверления
    Ответствия могут быть сделаны в изделиях, изготовленных из любых материалов - металл, легкие сплавы металлов, древесина и т.д.
    Электродвигатель мощностью 375 Вт имеет 5 скоростей вращения и работает от сети переменного тока с напряжением 220В.
    Рабочий стол имеет регулировку по высоте.
    Максимальное расстояние от шпинделя до поверхности рабочего стола составляет 260 мм.
    Для удобства работы станок оснащен тисками.
    Размер основания 340x210 мм
    Размер стола 190x190 мм
    Диаметр колонны 58 мм","Сверлильный станок, настольный. Лазерный указатель. Мощность 375 Вт, диаметр сверла до 13 мм. 5 скоростей. Расстояние до рабочего стола 260 мм. Тиски в комплекте.",17900,"https://www.mkslift.ru/images/products/s_1200/17907_6qF2fpXUsQ.jpg, https://www.mkslift.ru/images/products/s_1200/17907_RhfcugMDbZ.jpg, https://www.mkslift.ru/images/products/s_1200/17907_mdFdEar8Cg.jpg, https://www.mkslift.ru/images/products/s_1200/17907_zG8f6c6qzV.jpg, https://www.mkslift.ru/images/products/s_1200/17907_6FRxKs2R72.jpg, https://www.mkslift.ru/images/products/s_1200/17907_xrGB9Ttcuv.jpg, https://www.mkslift.ru/images/products/s_1200/17907_DHspkEhkzh.jpg, https://www.mkslift.ru/images/products/s_1200/17907_5BMR3K3Hgs.jpg","KRW-DP13A",,"/file_process_free.php?file=file2_id:4013","KRWDP-Sw, KRWDP16B-S60, KRWDP13A-Fan, KRWDP13A-Con, KRWDP13A-Cov, KRWDP13A-S10","Бренд","KraftWell (КНР)","Гарантия","12 мес.","Сеть","220 В","Тип","сверлильный","Лазер","да","Скоростей",5,"Упак. размеры","570/390/265 Д/Ш/В, мм","Вес брутто","26 кг.","Кол-во мест","1 шт.","Категория","Сверлильные","Высота","680 мм.","Мощность","0.375 кВт","Цвет","серый","Высота деталей до","260 мм.","Рабочий ход","65 мм.",,,,,,,,,,,,,,
"Сверлильный станок 16 мм, 450 Вт KraftWell  арт. KRW-DP16B","Станки специальные > Сверлильные","
			Профессиональный сверлильный станок KRW-DP16B предназаначен для использования в автосервисах, мастерских, а также на промышленных предприятиях.

    Станок позволяет использовать сверла с диаметром хвостовика до 16 мм в изделиях, изготовленных из любых материалов - металл, легкие сплавы металлов, древесина и т.д.
    Аварийный выключатель на передней панели
    Защитный кожух патрона
    Регулировка натяжения приводного ремня рукояткой на корпусе
    Микропереключатель для соответствия нормам безопасности CE
    Лазерный указатель места сверления
    Электродвигатель мощностью 450 Вт имеет 12 скоростей вращения и работает от сети переменного тока с напряжением 220 В.
    Рабочий стол имеет регулировку по высоте.
    Максимальное расстояние от шпинделя до поверхности рабочего стола составляет 310 мм.
    Для удобства работы станок оснащен тисками.
    Размер основания 420x250 мм
    Диаметр колонны 58 мм","Сверлильный станок, настольный. Лазерный указатель. Мощность 450 Вт, диаметр сверла до 16 мм. 12 скоростей. Расстояние до рабочего стола 310 мм. Тиски в комплекте.",25900,"https://www.mkslift.ru/images/products/s_1200/17908_uHwdTgsvPy.jpg, https://www.mkslift.ru/images/products/s_1200/17908_WK3Vmg2F2v.jpg, https://www.mkslift.ru/images/products/s_1200/17908_GS3SQX6gVn.jpg, https://www.mkslift.ru/images/products/s_1200/17908_CXq2EM8YNZ.jpg, https://www.mkslift.ru/images/products/s_1200/17908_VX4FZ39Cga.jpg, https://www.mkslift.ru/images/products/s_1200/17908_YzwUKDG4Sz.jpg, https://www.mkslift.ru/images/products/s_1200/17908_T7x2VMvNNc.jpg, https://www.mkslift.ru/images/products/s_1200/17908_gkuqEYGe8M.jpg","KRW-DP16B",,"/file_process_free.php?file=file2_id:4015","KRWDP-Sw, KRWDP- Con, KRWDP16B-S60, KRWDP16-Fan, KRWDP16-Cov, KRWDP16B-S10","Бренд","KraftWell (КНР)","Гарантия","12 мес.","Сеть","220 В","Тип","сверлильный","Лазер","да","Скоростей",12,"Упак. размеры","780/450/280 Д/Ш/В, мм","Вес брутто","33 кг.","Кол-во мест","1 шт.","Категория","Сверлильные","Высота","900 мм.","Мощность","0.45 кВт","Цвет","серый","Высота деталей до","310 мм.","Рабочий ход","65 мм.",,,,,,,,,,,,,,
"Сверлильный станок 16 мм, 550 Вт KraftWell  арт. KRW-DP16","Станки специальные > Сверлильные","
			Профессиональный сверлильный станок KRW-DP16 предназаначен для использования в автосервисах, мастерских, а также на промышленных предприятиях.

    Станок позволяет использовать сверла с диаметром хвостовика до 16 мм
    Аварийный выключатель на передней панели
    Защитный кожух патрона
    Регулировка натяжения приводного ремня рукояткой на корпусе
    Микропереключатель для соответствия нормам безопасности CE
    Лазерный указатель места сверления
    Ответствия могут быть сделаны в изделиях, изготовленных из любых материалов - металл, легкие сплавы металлов, древесина и т.д.
    Электродвигатель мощностью 550 Вт имеет 16 скоростей вращения и работает от сети переменного тока с напряжением 220 В.
    Рабочий стол имеет регулировку по высоте.
    Максимальное расстояние от шпинделя до поверхности рабочего стола составляет 360 мм.
    Для удобства работы станок оснащен тисками.
    Размер основания 420x250 мм
    Диаметр колонны 72 мм","Сверлильный станок, настольный. Лазерный указатель. Мощность 550 Вт, диаметр сверла до 16 мм. 16 скоростей. Расстояние до рабочего стола 325 мм. Тиски в комплекте.",29900,"https://www.mkslift.ru/images/products/s_1200/17909_R2Mg4FRTQQ.jpg, https://www.mkslift.ru/images/products/s_1200/17909_3rcGvsUtvk.jpg, https://www.mkslift.ru/images/products/s_1200/17909_UrE5sKwKZa.jpg, https://www.mkslift.ru/images/products/s_1200/17909_FbnkX5txu8.jpg, https://www.mkslift.ru/images/products/s_1200/17909_wXW8MnM8pg.jpg, https://www.mkslift.ru/images/products/s_1200/17909_uDkHbN59g8.jpg, https://www.mkslift.ru/images/products/s_1200/17909_mzSXpp7kkn.jpg","KRW-DP16",,"/file_process_free.php?file=file2_id:4014","KRWDP-Sw, KRWDP- Con, KRWDP16-Fan, KRWDP16-S60, KRWDP16-Cov, KRWDP16-S10","Бренд","KraftWell (КНР)","Гарантия","12 мес.","Сеть","220 В","Тип","сверлильный","Лазер","да","Скоростей",16,"Упак. размеры","780/450/280 Д/Ш/В, мм","Вес брутто","44 кг.","Кол-во мест","1 шт.","Категория","Сверлильные","Высота","980 мм.","Мощность","0.55 кВт","Цвет","серый","Высота деталей до","325 мм.","Рабочий ход","85 мм.",,,,,,,,,,,,,,
"Сверлильный станок 25 мм, 900 Вт KraftWell  арт. KRW-DP25","Станки специальные > Сверлильные","
			Профессиональный сверлильный станок KRW-DP25 предназаначен для использования в автосервисах, мастерских, а также на промышленных предприятиях.

    Станок позволяет использовать сверла с диаметром хвостовика до 25 мм в изделиях, изготовленных из любых материалов - металл, легкие сплавы металлов, древесина и т.д.
    Аварийный выключатель на передней панели
    Защитный кожух патрона
    Регулировка натяжения приводного ремня рукояткой на корпусе
    Микропереключатель для соответствия нормам безопасности CE
    Лазерный указатель места сверления
    Регулировка наклона рабочего стола
    Вращение рабочего стола вокруг своей оси
    Электродвигатель мощностью 900 Вт имеет 12 скоростей вращения и работает от сети переменного тока с напряжением 220 В.
    Рабочий стол имеет регулировку по высоте. Регулировка осуществляется удобной рукояткой
    Максимальное расстояние от шпинделя до поверхности рабочего стола составляет 360 мм.
    Для удобства работы станок оснащен тисками.
    Размер основания 460x2172 мм
    Размер стола 290x290 мм
    Диаметр колонны 80 мм","Сверлильный станок, настольный. Лазерный указатель. Мощность 900 Вт, диаметр сверла до 25 мм. 12 скоростей. Расстояние до рабочего стола 360 мм. Тиски в комплекте.",43900,"https://www.mkslift.ru/images/products/s_1200/17910_vBDaV25TPp.jpg","KRW-DP25",,"/file_process_free.php?file=file2_id:4016","KRWDP-Sw, KRWDP- Con, KRWDP25-S27, KRWDP25-Fan, KRWDP25-Cov, KRWDP25 -S13","Бренд","KraftWell (КНР)","Гарантия","12 мес.","Сеть","220 В","Тип","сверлильный","Лазер","да","Скоростей",12,"Упак. размеры","1140/500/300 Д/Ш/В, мм","Вес брутто","64 кг.","Кол-во мест","1 шт.","Категория","Сверлильные","Высота","1600 мм.","Мощность","0.9 кВт","Цвет","серый","Высота деталей до","360 мм.","Рабочий ход","85 мм.",,,,,,,,,,,,,,
"Упор штока пресса MEGA  арт. 0905000014","Запасные части > MEGA",,"PRD20",10273,"https://www.mkslift.ru/images/products/s_1200/17918_AkWzbZVg8V.jpg",905000014,,,,"Бренд","MEGA (Испания)","Гарантия","24 мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Гидроцилиндр в сборе ProTech  арт. ST4SL-S66","Запасные части > Запчасти KRAFTWELL > Подъемники",,"ST4SLPro",23750,"https://www.mkslift.ru/images/products/s_1200/17937_e7NK6fM4eg.jpg","ST4SL-S66",,,,"Бренд","ProTech (КНР)","Гарантия","12 мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Клапан  парашютный KraftWell  арт. QWJF2401045","Запасные части > Запчасти KRAFTWELL > Подъемники",,"KRW4.2",950,"https://www.mkslift.ru/images/products/s_1200/17939_GbHeXXKmmK.jpg, https://www.mkslift.ru/images/products/s_1200/17939_2Cdp5sTPPD.jpg, https://www.mkslift.ru/images/products/s_1200/17939_Sz255FzU3T.jpg","QWJF2401045",,,"KRW4.2MA, KRW4.2EA/220, KRW4.2EA","Бренд","KraftWell (КНР)","Гарантия","12 мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Контактор 24V OMA-Werther  арт. B2158","Запасные части > WERTHER (OMA) > Разное",,,31980,"https://www.mkslift.ru/images/products/s_1200/17940_DH9SZ6a8rZ.jpg, https://www.mkslift.ru/images/products/s_1200/17940_Awzh7vP4Uk.jpg","B2158",,,,"Бренд","OMA-Werther (Италия)","Гарантия","""0"" мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Выключатель главный 3х16А D22 OMA-Werther  арт. B0643","Запасные части > WERTHER (OMA) > Подъёмники 2-х стоечные",,,10062,"https://www.mkslift.ru/images/products/s_1200/17965_XbgBAHGRHb.jpg","B0643",,,,"Бренд","OMA-Werther (Италия)","Гарантия","""0"" мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Переключатель  OMA-Werther  арт. B4087","Запасные части > WERTHER (OMA) > Подъёмники ножничные, подкатные колонны",,"Saturnus 45",12672,"https://www.mkslift.ru/images/products/s_1200/17966_8KZSmYfkez.jpg, https://www.mkslift.ru/images/products/s_1200/17966_hZmNGAH2Cr.jpg","B4087",,,,"Бренд","OMA-Werther (Италия)","Гарантия","""0"" мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ролик верхний 80х38 + втулка бронзовая OMA-Werther  арт. B2825","Запасные части > WERTHER (OMA) > Подъёмники 2-х стоечные",,,10173,"https://www.mkslift.ru/images/products/s_1200/17967_RMq6cBRYCA.jpg","B2825",,,,"Бренд","OMA-Werther (Италия)","Гарантия","""0"" мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Гайка рабочая OMA-Werther  арт. B0069","Запасные части > WERTHER (OMA) > Подъёмники 2-х стоечные",,"225-301",11184,"https://www.mkslift.ru/images/products/s_1200/17971_MmcEzWRRNV.jpg","B0069",,,,"Бренд","OMA-Werther (Италия)","Гарантия","""0"" мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Каретка KraftWell  арт. KRW4MLS-SCar","Запасные части > Запчасти KRAFTWELL > Подъемники","
			KRW4MLS","KRW4MLS",14250,"https://www.mkslift.ru/images/products/s_1200/17981_d7M77xE8zH.jpg","KRW4MLS-SCar",,,"KRW4MLS, KRW4MLS/220","Бренд","KraftWell (КНР)","Гарантия","12 мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Электрокатушка клапана 24VCD OMA-Werther  арт. B7772","Запасные части > WERTHER (OMA) > Подъёмники 2-х стоечные",,,10140,"https://www.mkslift.ru/images/products/s_1200/18005_RHhRGbkzK7.jpg","B7772",,,,"Бренд","OMA-Werther (Италия)","Гарантия","""0"" мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Переключатель электромагнитный KraftWell  арт. KRWDP-Sw","Запасные части > Запчасти KRAFTWELL > Станки специальные",,"KRW-DP13A\16\16B\25
KRW-BG150\200\250",3135,"https://www.mkslift.ru/images/products/s_1200/18038_UUHxssDfqD.jpg, https://www.mkslift.ru/images/products/s_1200/18038_NCsp9kHXzA.jpg","KRWDP-Sw",,,"KRW-BG250, KRW-DP25, KRW-BG150, KRW-DP13A, KRW-BG200, KRW-DP16B, KRW-DP16","Бренд","KraftWell (КНР)","Гарантия","12 мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Стекло защитное KraftWell  арт. KRWBG-Gl","Запасные части > Запчасти KRAFTWELL > Станки специальные",,"KRW-BG150\200\250",380,"https://www.mkslift.ru/images/products/s_1200/18039_YTCKx5hTdQ.jpg","KRWBG-Gl",,,"KRW-BG250, KRW-BG150, KRW-BG200","Бренд","KraftWell (КНР)","Гарантия","12 мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Кожух электромотора KraftWell  арт. KRWDP13A-Cov","Запасные части > Запчасти KRAFTWELL > Станки специальные",,"KRW-DP13A",570,"https://www.mkslift.ru/images/products/s_1200/18042_PfzMa5XysQ.jpg","KRWDP13A-Cov",,,"KRW-DP13A","Бренд","KraftWell (КНР)","Гарантия","12 мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Кожух электромотора KraftWell  арт. KRWDP16-Cov","Запасные части > Запчасти KRAFTWELL > Станки специальные",,"KRW-DP16",618,"https://www.mkslift.ru/images/products/s_1200/18043_BDFcXCzv8z.jpg","KRWDP16-Cov",,,"KRW-DP16B, KRW-DP16","Бренд","KraftWell (КНР)","Гарантия","12 мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Пружина спиральная  KraftWell  арт. KRWDP16-S60","Запасные части > Запчасти KRAFTWELL > Станки специальные",,"KRW-DP16",618,"https://www.mkslift.ru/images/products/s_1200/18048_QvFZBquGa8.jpg","KRWDP16-S60",,,"KRW-DP16","Бренд","KraftWell (КНР)","Гарантия","12 мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Пружина спиральная  KraftWell  арт. KRWDP25-S27","Запасные части > Запчасти KRAFTWELL > Станки специальные",,"KRW-DP25",618,"https://www.mkslift.ru/images/products/s_1200/18049_VW8AvDpxkF.jpg","KRWDP25-S27",,,"KRW-DP25","Бренд","KraftWell (КНР)","Гарантия","12 мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Пружина спиральная  KraftWell  арт. KRWDP16B-S60","Запасные части > Запчасти KRAFTWELL > Станки специальные",,"KRW-DP16B
KRW-DP13A",618,"https://www.mkslift.ru/images/products/s_1200/18050_7EcGsCTEvs.jpg","KRWDP16B-S60",,,"KRW-DP13A, KRW-DP16B","Бренд","KraftWell (КНР)","Гарантия","12 мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ручка защитная длинная KraftWell  арт. KRW4MU-SHL","Запасные части > Запчасти KRAFTWELL > Подъемники",,"KRW4MU
610mm между отверстиями",1900,"https://www.mkslift.ru/images/products/s_1200/18062_psyx6maD5U.jpg","KRW4MU-SHL",,,,"Бренд","KraftWell (КНР)","Гарантия","12 мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ручка защитная короткая KraftWell  арт. KRW4MU-SHH","Запасные части > Запчасти KRAFTWELL > Подъемники",,"KRW4MU 290mm меду отверстиями",1425,"https://www.mkslift.ru/images/products/s_1200/18063_um2kcPxCMx.jpg","KRW4MU-SHH",,,,"Бренд","KraftWell (КНР)","Гарантия","12 мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Насадка опорная  MEGA  арт. 0903000026","Запасные части > MEGA",,"TRS300-1200 арт. TTR1200-C17 арт. TR300-C17",23400,"https://www.mkslift.ru/images/products/s_1200/18064_hz4bmRFkfp.jpg",903000026,,,"TRS750","Бренд","MEGA (Испания)","Гарантия","24 мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Каретка KraftWell  арт. TPF4-200-01-00","Запасные части > Запчасти KRAFTWELL > Подъемники",,"KRW4ML",9975,"https://www.mkslift.ru/images/products/s_1200/18066_vgthAPauwd.jpg","TPF4-200-01-00",,,,"Бренд","KraftWell (КНР)","Гарантия","12 мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Опора телескопическая передняя левая KraftWell  арт. TPF4-400-05K-00L","Запасные части > Запчасти KRAFTWELL > Подъемники",,"KRW4ML
KRW4MLS",10450,"https://www.mkslift.ru/images/products/s_1200/18067_aNfwcvwbRp.jpg","TPF4-400-05K-00L",,,"KRW4MLS, KRW4MLS/220","Бренд","KraftWell (КНР)","Гарантия","12 мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Опора телескопическая передняя правая KraftWell  арт. TPF4-400-05K-00R","Запасные части > Запчасти KRAFTWELL > Подъемники",,"KRW4ML
KRW4MLS",10450,"https://www.mkslift.ru/images/products/s_1200/18068_6bXG9kC9Mf.jpg","TPF4-400-05K-00R",,,"KRW4MLS, KRW4MLS/220","Бренд","KraftWell (КНР)","Гарантия","12 мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Опора телескопическая задняя KraftWell  арт. TPF4-400-05K-00M","Запасные части > Запчасти KRAFTWELL > Подъемники",,"KRW4ML
KRW4MLS",10450,"https://www.mkslift.ru/images/products/s_1200/18069_2dG9HQVz3k.jpg","TPF4-400-05K-00M",,,"KRW4MLS, KRW4MLS/220","Бренд","KraftWell (КНР)","Гарантия","12 мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Опора на лапу подъёмника KraftWell  арт. KRW4ML-SRub","Запасные части > Запчасти KRAFTWELL > Подъемники",,"KRW4ML KRW4MLS ST4Pro  Ø35mm посадочное",2375,"https://www.mkslift.ru/images/products/s_1200/18072_5uSWhdguW7.jpg, https://www.mkslift.ru/images/products/s_1200/18072_b7sUg24N99.jpg","KRW4ML-SRub",,,"KRW4MLS, KRW4MLS/220","Бренд","KraftWell (КНР)","Гарантия","12 мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Пружина  кручения KraftWell  арт. C-200-370000-0","Запасные части > Запчасти KRAFTWELL > Шиномонтажное оборудование > Шиномонтажи",,"KRW24Ø15mm",200,"https://www.mkslift.ru/images/products/s_1200/18073_McFmUuG5Dy.jpg, https://www.mkslift.ru/images/products/s_1200/18073_fdvGapkdvQ.jpg","C-200-370000-0",,,,"Бренд","KraftWell (КНР)","Гарантия","12 мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Гидроцилиндр в сборе Red Line Premium  арт. R240-S709","Запасные части > Запчасти KRAFTWELL > Подъемники",,"R240L1200mm Ø73mm",22800,"https://www.mkslift.ru/images/products/s_1200/18082_dTaYQuUTt7.jpg","R240-S709",,,,"Бренд","Red Line Premium (КНР)","Гарантия","12 мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Опора лапы KraftWell  арт. KRW4DLU-S52","Запасные части > Запчасти KRAFTWELL > Подъемники",,"KRW4DLU
Ø45 посадочный",2850,"https://www.mkslift.ru/images/products/s_1200/18088_yyfMqhnPx2.jpg","KRW4DLU-S52",,,"KRW4DLU/220, KRW4DLU","Бренд","KraftWell (КНР)","Гарантия","12 мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Пружина кручения KraftWell  арт. C-200-370000","Запасные части > Запчасти KRAFTWELL > Шиномонтажное оборудование > Шиномонтажи",,"Ø13",200,"https://www.mkslift.ru/images/products/s_1200/18119_xrkV5Z8bW4.jpg, https://www.mkslift.ru/images/products/s_1200/18119_QEXEqr3NaR.jpg","C-200-370000",,,,"Бренд","KraftWell (КНР)","Гарантия","12 мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
